X,Y,Z
2633775.0,1143525.0,1972.69
2633805.0,1143525.0,1961.6
2633835.0,1143525.0,1953.43
2633745.0,1143495.0,1972.19
2633775.0,1143495.0,1967.03
2633805.0,1143495.0,1958.83
2633835.0,1143495.0,1945.67
2633865.0,1143495.0,1937.45
2633685.0,1143465.0,1978.46
2633715.0,1143465.0,1972.85
2633745.0,1143465.0,1961.78
2633775.0,1143465.0,1953.42
2633805.0,1143465.0,1941.18
2633835.0,1143465.0,1932.74
2633865.0,1143465.0,1931.46
2633625.0,1143435.0,1965.13
2633655.0,1143435.0,1963.53
2633685.0,1143435.0,1958.38
2633715.0,1143435.0,1955.41
2633745.0,1143435.0,1942.25
2633775.0,1143435.0,1935.9
2633805.0,1143435.0,1932.37
2633835.0,1143435.0,1933.41
2633865.0,1143435.0,1929.22
2633895.0,1143435.0,1928.92
2633595.0,1143405.0,1961.06
2633625.0,1143405.0,1957.22
2633655.0,1143405.0,1947.58
2633685.0,1143405.0,1932.89
2633715.0,1143405.0,1926.68
2633745.0,1143405.0,1920.81
2633775.0,1143405.0,1917.88
2633805.0,1143405.0,1927.55
2633835.0,1143405.0,1929.02
2633865.0,1143405.0,1929.58
2633895.0,1143405.0,1924.02
2633925.0,1143405.0,1913.68
2633535.0,1143375.0,1955.87
2633565.0,1143375.0,1951.18
2633595.0,1143375.0,1941.86
2633625.0,1143375.0,1932.32
2633655.0,1143375.0,1921.66
2633685.0,1143375.0,1912.79
2633715.0,1143375.0,1909.58
2633745.0,1143375.0,1912.56
2633775.0,1143375.0,1914.15
2633805.0,1143375.0,1915.27
2633835.0,1143375.0,1920.6
2633865.0,1143375.0,1911.49
2633895.0,1143375.0,1900.64
2633925.0,1143375.0,1885.77
2633505.0,1143345.0,1940.52
2633535.0,1143345.0,1935.96
2633565.0,1143345.0,1928.53
2633595.0,1143345.0,1923.28
2633625.0,1143345.0,1911.17
2633655.0,1143345.0,1904.65
2633685.0,1143345.0,1909.43
2633715.0,1143345.0,1912.62
2633745.0,1143345.0,1908.26
2633775.0,1143345.0,1909.05
2633805.0,1143345.0,1902.38
2633835.0,1143345.0,1892.34
2633865.0,1143345.0,1882.41
2633895.0,1143345.0,1871.89
2633925.0,1143345.0,1860.27
2633955.0,1143345.0,1858.5
2633445.0,1143315.0,1924.66
2633475.0,1143315.0,1922.66
2633505.0,1143315.0,1922.23
2633535.0,1143315.0,1916.9
2633565.0,1143315.0,1907.9
2633595.0,1143315.0,1899.68
2633625.0,1143315.0,1899.8
2633655.0,1143315.0,1906.37
2633685.0,1143315.0,1903.63
2633715.0,1143315.0,1894.73
2633745.0,1143315.0,1885.77
2633775.0,1143315.0,1879.14
2633805.0,1143315.0,1878.16
2633835.0,1143315.0,1866.51
2633865.0,1143315.0,1857.3
2633895.0,1143315.0,1852.29
2633925.0,1143315.0,1852.12
2633955.0,1143315.0,1862.75
2633385.0,1143285.0,1922.54
2633415.0,1143285.0,1908.73
2633445.0,1143285.0,1907.42
2633475.0,1143285.0,1902.88
2633505.0,1143285.0,1894.96
2633535.0,1143285.0,1890.76
2633565.0,1143285.0,1890.75
2633595.0,1143285.0,1900.84
2633625.0,1143285.0,1900.27
2633655.0,1143285.0,1894.75
2633685.0,1143285.0,1882.97
2633715.0,1143285.0,1870.4
2633745.0,1143285.0,1869.71
2633775.0,1143285.0,1862.83
2633805.0,1143285.0,1852.64
2633835.0,1143285.0,1848.48
2633865.0,1143285.0,1850.32
2633895.0,1143285.0,1857.47
2633925.0,1143285.0,1860.16
2633955.0,1143285.0,1862.51
2633985.0,1143285.0,1865.61
2633355.0,1143255.0,1917.12
2633385.0,1143255.0,1897.75
2633415.0,1143255.0,1887.92
2633445.0,1143255.0,1885.95
2633475.0,1143255.0,1883.93
2633505.0,1143255.0,1888.47
2633535.0,1143255.0,1892.4
2633565.0,1143255.0,1891.11
2633595.0,1143255.0,1887.78
2633625.0,1143255.0,1883.98
2633655.0,1143255.0,1864.48
2633685.0,1143255.0,1859.61
2633715.0,1143255.0,1855.42
2633745.0,1143255.0,1843.91
2633775.0,1143255.0,1844.98
2633805.0,1143255.0,1851.61
2633835.0,1143255.0,1854.43
2633865.0,1143255.0,1855.88
2633895.0,1143255.0,1858.24
2633925.0,1143255.0,1860.54
2633955.0,1143255.0,1862.57
2633985.0,1143255.0,1865.38
2634015.0,1143255.0,1868.37
2633295.0,1143225.0,1908.97
2633325.0,1143225.0,1900.44
2633355.0,1143225.0,1887.64
2633385.0,1143225.0,1877.91
2633415.0,1143225.0,1875.91
2633445.0,1143225.0,1885.37
2633475.0,1143225.0,1890.39
2633505.0,1143225.0,1888.85
2633535.0,1143225.0,1880.08
2633565.0,1143225.0,1870.25
2633595.0,1143225.0,1865.24
2633625.0,1143225.0,1846.16
2633655.0,1143225.0,1843.73
2633685.0,1143225.0,1848.17
2633715.0,1143225.0,1849.44
2633745.0,1143225.0,1850.64
2633775.0,1143225.0,1851.92
2633805.0,1143225.0,1853.46
2633835.0,1143225.0,1854.91
2633865.0,1143225.0,1856.92
2633895.0,1143225.0,1858.55
2633925.0,1143225.0,1860.36
2633955.0,1143225.0,1862.6
2633985.0,1143225.0,1865.15
2634015.0,1143225.0,1867.96
2633265.0,1143195.0,1898.34
2633295.0,1143195.0,1889.46
2633325.0,1143195.0,1876.13
2633355.0,1143195.0,1866.97
2633385.0,1143195.0,1862.27
2633415.0,1143195.0,1877.62
2633445.0,1143195.0,1884.37
2633475.0,1143195.0,1878.91
2633505.0,1143195.0,1872.86
2633535.0,1143195.0,1863.62
2633565.0,1143195.0,1846.43
2633595.0,1143195.0,1836.43
2633625.0,1143195.0,1846.65
2633655.0,1143195.0,1848.36
2633685.0,1143195.0,1848.75
2633715.0,1143195.0,1849.53
2633745.0,1143195.0,1850.49
2633775.0,1143195.0,1852.55
2633805.0,1143195.0,1853.87
2633835.0,1143195.0,1855.33
2633865.0,1143195.0,1857.22
2633895.0,1143195.0,1858.66
2633925.0,1143195.0,1860.59
2633955.0,1143195.0,1862.92
2633985.0,1143195.0,1865.23
2634015.0,1143195.0,1868.48
2634045.0,1143195.0,1873.06
2633205.0,1143165.0,1892.69
2633235.0,1143165.0,1886.9
2633265.0,1143165.0,1876.47
2633295.0,1143165.0,1867.45
2633325.0,1143165.0,1856.79
2633355.0,1143165.0,1849.1
2633385.0,1143165.0,1862.39
2633415.0,1143165.0,1867.66
2633445.0,1143165.0,1862.08
2633475.0,1143165.0,1860.62
2633505.0,1143165.0,1851.43
2633535.0,1143165.0,1829.79
2633565.0,1143165.0,1832.41
2633595.0,1143165.0,1844.9
2633625.0,1143165.0,1845.67
2633655.0,1143165.0,1848.28
2633685.0,1143165.0,1848.31
2633715.0,1143165.0,1849.14
2633745.0,1143165.0,1850.4
2633775.0,1143165.0,1851.76
2633805.0,1143165.0,1853.59
2633835.0,1143165.0,1855.52
2633865.0,1143165.0,1857.4
2633895.0,1143165.0,1859.84
2633925.0,1143165.0,1862.58
2633955.0,1143165.0,1864.97
2633985.0,1143165.0,1866.34
2634015.0,1143165.0,1870.26
2634045.0,1143165.0,1873.47
2633145.0,1143135.0,1896.09
2633175.0,1143135.0,1883.39
2633205.0,1143135.0,1872.43
