X,Y,Z
2631555.0,1147245.0,3247.72
2631495.0,1147215.0,3218.9
2631525.0,1147215.0,3220.93
2631555.0,1147215.0,3229.71
2631465.0,1147185.0,3201.26
2631495.0,1147185.0,3204.59
2631525.0,1147185.0,3208.76
2631555.0,1147185.0,3214.01
2631585.0,1147185.0,3217.26
2631405.0,1147155.0,3176.22
2631435.0,1147155.0,3182.58
2631465.0,1147155.0,3188.48
2631495.0,1147155.0,3192.48
2631525.0,1147155.0,3196.13
2631555.0,1147155.0,3199.62
2631585.0,1147155.0,3199.11
2631345.0,1147125.0,3162.69
2631375.0,1147125.0,3166.38
2631405.0,1147125.0,3170.79
2631435.0,1147125.0,3174.94
2631465.0,1147125.0,3178.77
2631495.0,1147125.0,3181.48
2631525.0,1147125.0,3183.59
2631555.0,1147125.0,3185.34
2631585.0,1147125.0,3183.34
2631615.0,1147125.0,3187.71
2631315.0,1147095.0,3156.74
2631345.0,1147095.0,3159.74
2631375.0,1147095.0,3162.31
2631405.0,1147095.0,3164.52
2631435.0,1147095.0,3167.85
2631465.0,1147095.0,3170.33
2631495.0,1147095.0,3170.55
2631525.0,1147095.0,3170.18
2631555.0,1147095.0,3168.67
2631585.0,1147095.0,3168.35
2631615.0,1147095.0,3181.58
2631645.0,1147095.0,3180.67
2631255.0,1147065.0,3144.86
2631285.0,1147065.0,3149.98
2631315.0,1147065.0,3153.33
2631345.0,1147065.0,3154.33
2631375.0,1147065.0,3153.12
2631405.0,1147065.0,3155.9
2631435.0,1147065.0,3159.99
2631465.0,1147065.0,3161.31
2631495.0,1147065.0,3161.13
2631525.0,1147065.0,3158.67
2631555.0,1147065.0,3154.01
2631585.0,1147065.0,3149.75
2631615.0,1147065.0,3142.06
2631645.0,1147065.0,3140.88
2631195.0,1147035.0,3129.56
2631225.0,1147035.0,3132.58
2631255.0,1147035.0,3137.91
2631285.0,1147035.0,3142.26
2631315.0,1147035.0,3141.76
2631345.0,1147035.0,3145.8
2631375.0,1147035.0,3145.9
2631405.0,1147035.0,3146.89
2631435.0,1147035.0,3149.79
2631465.0,1147035.0,3151.82
2631495.0,1147035.0,3152.75
2631525.0,1147035.0,3151.46
2631555.0,1147035.0,3148.05
2631585.0,1147035.0,3142.96
2631615.0,1147035.0,3136.43
2631645.0,1147035.0,3130.76
2631675.0,1147035.0,3128.52
2631165.0,1147005.0,3120.65
2631195.0,1147005.0,3121.91
2631225.0,1147005.0,3125.41
2631255.0,1147005.0,3130.27
2631285.0,1147005.0,3134.17
2631315.0,1147005.0,3135.27
2631345.0,1147005.0,3134.22
2631375.0,1147005.0,3133.32
2631405.0,1147005.0,3135.64
2631435.0,1147005.0,3139.72
2631465.0,1147005.0,3142.32
2631495.0,1147005.0,3143.93
2631525.0,1147005.0,3143.31
2631555.0,1147005.0,3140.27
2631585.0,1147005.0,3135.9
2631615.0,1147005.0,3130.16
2631645.0,1147005.0,3123.94
2631675.0,1147005.0,3118.84
2631705.0,1147005.0,3115.53
2631105.0,1146975.0,3103.6
2631135.0,1146975.0,3106.73
2631165.0,1146975.0,3108.59
2631195.0,1146975.0,3110.25
2631225.0,1146975.0,3112.24
2631255.0,1146975.0,3115.93
2631285.0,1146975.0,3119.54
2631315.0,1146975.0,3120.69
2631345.0,1146975.0,3122.16
2631375.0,1146975.0,3123.44
2631405.0,1146975.0,3125.56
2631435.0,1146975.0,3129.37
2631465.0,1146975.0,3131.53
2631495.0,1146975.0,3133.81
2631525.0,1146975.0,3133.43
2631555.0,1146975.0,3131.33
2631585.0,1146975.0,3127.5
2631615.0,1146975.0,3122.53
2631645.0,1146975.0,3116.84
2631675.0,1146975.0,3111.51
2631705.0,1146975.0,3107.63
2631075.0,1146945.0,3085.63
2631105.0,1146945.0,3086.3
2631135.0,1146945.0,3087.43
2631165.0,1146945.0,3092.78
2631195.0,1146945.0,3098.52
2631225.0,1146945.0,3098.12
2631255.0,1146945.0,3094.55
2631285.0,1146945.0,3096.39
2631315.0,1146945.0,3103.97
2631345.0,1146945.0,3110.19
2631375.0,1146945.0,3113.62
2631405.0,1146945.0,3116.11
2631435.0,1146945.0,3118.26
2631465.0,1146945.0,3118.6
2631495.0,1146945.0,3120.38
2631525.0,1146945.0,3121.51
2631555.0,1146945.0,3120.58
2631585.0,1146945.0,3117.85
2631615.0,1146945.0,3113.6
2631645.0,1146945.0,3108.92
2631675.0,1146945.0,3104.03
2631705.0,1146945.0,3100.13
2631735.0,1146945.0,3098.24
2631015.0,1146915.0,3071.2
2631045.0,1146915.0,3068.21
2631075.0,1146915.0,3065.37
2631105.0,1146915.0,3067.16
2631135.0,1146915.0,3070.18
2631165.0,1146915.0,3075.39
2631195.0,1146915.0,3083.81
2631225.0,1146915.0,3086.54
2631255.0,1146915.0,3082.08
2631285.0,1146915.0,3080.85
2631315.0,1146915.0,3088.48
2631345.0,1146915.0,3101.01
2631375.0,1146915.0,3106.16
2631405.0,1146915.0,3106.74
2631435.0,1146915.0,3105.81
2631465.0,1146915.0,3103.59
2631495.0,1146915.0,3104.66
2631525.0,1146915.0,3107.44
2631555.0,1146915.0,3107.86
2631585.0,1146915.0,3106.74
2631615.0,1146915.0,3103.73
2631645.0,1146915.0,3099.79
2631675.0,1146915.0,3095.42
2631705.0,1146915.0,3092.17
2631735.0,1146915.0,3089.97
2630955.0,1146885.0,3063.65
2630985.0,1146885.0,3062.02
2631015.0,1146885.0,3058.43
2631045.0,1146885.0,3052.77
2631075.0,1146885.0,3046.64
2631105.0,1146885.0,3047.29
2631135.0,1146885.0,3055.7
2631165.0,1146885.0,3055.26
2631195.0,1146885.0,3065.05
2631225.0,1146885.0,3069.69
2631255.0,1146885.0,3067.67
2631285.0,1146885.0,3060.33
2631315.0,1146885.0,3063.71
2631345.0,1146885.0,3091.2
2631375.0,1146885.0,3100.38
2631405.0,1146885.0,3100.22
2631435.0,1146885.0,3090.94
2631465.0,1146885.0,3086.06
2631495.0,1146885.0,3088.77
2631525.0,1146885.0,3092.66
2631555.0,1146885.0,3094.53
2631585.0,1146885.0,3095.0
2631615.0,1146885.0,3093.18
2631645.0,1146885.0,3089.3
2631675.0,1146885.0,3085.23
2631705.0,1146885.0,3082.46
2631735.0,1146885.0,3079.96
2631765.0,1146885.0,3077.01
2630925.0,1146855.0,3058.22
2630955.0,1146855.0,3055.66
2630985.0,1146855.0,3053.28
2631015.0,1146855.0,3049.76
2631045.0,1146855.0,3043.78
2631075.0,1146855.0,3036.86
2631105.0,1146855.0,3031.47
2631135.0,1146855.0,3025.24
2631165.0,1146855.0,3025.28
2631195.0,1146855.0,3041.71
2631225.0,1146855.0,3040.21
2631255.0,1146855.0,3041.98
2631285.0,1146855.0,3038.94
2631315.0,1146855.0,3041.5
2631345.0,1146855.0,3053.19
2631375.0,1146855.0,3097.52
2631405.0,1146855.0,3097.7
2631435.0,1146855.0,3083.99
2631465.0,1146855.0,3074.02
2631495.0,1146855.0,3074.74
2631525.0,1146855.0,3081.28
2631555.0,1146855.0,3081.55
2631585.0,1146855.0,3083.05
2631615.0,1146855.0,3080.72
2631645.0,1146855.0,3076.21
2631675.0,1146855.0,3073.01
2631705.0,1146855.0,3070.67
2631735.0,1146855.0,3068.42
2631765.0,1146855.0,3066.3
2631795.0,1146855.0,3064.03
2630865.0,1146825.0,3059.92
2630895.0,1146825.0,3056.17
2630925.0,1146825.0,3052.99
2630955.0,1146825.0,3049.94
2630985.0,1146825.0,3047.33
2631015.0,1146825.0,3044.31
2631045.0,1146825.0,3040.06
2631075.0,1146825.0,3035.04
2631105.0,1146825.0,3028.68
2631135.0,1146825.0,3020.62
2631165.0,1146825.0,3013.15
2631195.0,1146825.0,3008.34
2631225.0,1146825.0,3011.18
2631255.0,1146825.0,3028.35
2631285.0,1146825.0,3026.02
2631315.0,1146825.0,3027.85
2631345.0,1146825.0,3028.19
2631375.0,1146825.0,3037.83
2631405.0,1146825.0,3069.32
2631435.0,1146825.0,3063.92
2631465.0,1146825.0,3068.26
2631495.0,1146825.0,3057.83
2631525.0,1146825.0,3061.47
2631555.0,1146825.0,3075.64
2631585.0,1146825.0,3075.52
2631615.0,1146825.0,3065.45
2631645.0,1146825.0,3061.35
2631675.0,1146825.0,3058.64
2631705.0,1146825.0,3056.93
2631735.0,1146825.0,3054.72
2631765.0,1146825.0,3053.92
2631795.0,1146825.0,3053.03
2630805.0,1146795.0,3069.36
2630835.0,1146795.0,3062.65
2630865.0,1146795.0,3057.0
2630895.0,1146795.0,3053.13
2630925.0,1146795.0,3049.66
2630955.0,1146795.0,3046.57
2630985.0,1146795.0,3043.99
2631015.0,1146795.0,3041.38
